metric_id,timestamp,cloud_provider,service,environment,region_cloud,requests_count,latence_p95_ms,latence_p99_ms,error_rate_pct,uptime_pct,cpu_pct,ram_pct,cout_compute_usd,cout_storage_usd,cout_network_usd,nb_incidents,mttr_minutes,sla_respecte,mode_traitement,cout_total_usd
FIN-00001,2026-05-23 07:15,AWS,API Payment,prod,francecentral,78868.0,688.5,234.9,4.227,99.373,29.94,23.51,38.19,4.54,9.57,0,90.2,False,asynchrone,52.3
FIN-00002,2026-02-01 15:30,Private Cloud,Risk Engine,staging,francecentral,34826.0,140.3,346.5,3.031,99.5838,62.45,71.29,90.67,3.35,4.23,1,39.9,False,batch,98.25
FIN-00003,2026-03-29 18:00,GCP,Kafka Events,dev,westeurope,69723.0,343.1,449.3,1.46,97.6504,10.78,37.18,63.34,30.08,4.33,1,13.5,False,streaming,97.75
FIN-00004,2026-04-12 14:30,GCP,Auth Service,prod,francecentral,39041.0,134.7,107.9,2.478,99.9562,15.58,52.52,125.39,20.82,10.72,0,34.3,False,batch,156.93
FIN-00005,2026-04-24 16:00,Private Cloud,Reconciliation Job,prod,eu-west-1,71187.0,359.9,425.9,0.621,96.8786,25.87,44.79,77.36,30.95,7.92,0,15.2,False,synchrone,116.23
FIN-00006,2026-06-29 12:30,Azure,Auth Service,prod,eu-west-1,86972.0,140.9,163.6,4.769,98.1716,33.34,28.52,180.94,14.57,4.64,0,27.0,False,batch,200.14999999999998
FIN-00007,2026-02-17 10:30,AWS,API Payment,prod,eu-central-1,56528.0,167.8,251.4,0.268,99.8266,81.47,81.27,116.02,19.78,9.92,0,16.0,True,synchrone,145.72
FIN-00008,2026-03-03 22:00,Private Cloud,Reconciliation Job,prod,eu-west-1,86666.0,110.7,171.8,0.037,98.0939,57.81,72.58,188.15,6.78,2.99,0,17.1,False,synchrone,197.92000000000002
FIN-00009,2026-04-17 18:30,Private Cloud,Risk Engine,staging,westeurope,16853.0,279.7,73.8,1.15,97.5419,25.11,71.65,103.63,16.06,7.05,0,26.2,False,streaming,126.74
FIN-00010,2026-06-21 12:45,GCP,Auth Service,prod,westeurope,74135.0,123.0,861.7,3.968,98.1061,48.96,36.46,108.57,28.89,19.75,0,37.7,False,streaming,157.20999999999998
